gene,comparison,log2fc,p_value,abs_log2fc
SLC16A6,GCSF_vs_Normal,-23.759484403742288,5.6383569862036763e-39,23.759484403742288
SLC16A6,HSCT_vs_Normal,-23.759484403742288,5.6383569862036763e-39,23.759484403742288
SLC25A5,PDAC_vs_Normal,-23.757086926886757,5.6391860387535514e-39,23.757086926886757
SLC25A5,HSCT_vs_Normal,-23.757086926886757,5.6391860387535514e-39,23.757086926886757
SLC19A1,HSCT_vs_Normal,-26.018231324045523,5.6391860387535514e-39,26.018231324045523
SLC19A1,PDAC_vs_Normal,-26.018231324045523,5.6391860387535514e-39,26.018231324045523
SLC25A5,GCSF_vs_Normal,-23.757086926886757,5.6391860387535514e-39,23.757086926886757
SLC19A1,GCSF_vs_Normal,-26.018231324045523,5.6391860387535514e-39,26.018231324045523
SLC15A3,PDAC_vs_Normal,-26.145367331287694,5.6396006096776906e-39,26.145367331287694
SLC15A3,HSCT_vs_Normal,-26.145367331287694,5.6396006096776906e-39,26.145367331287694
SLCO3A1,HSCT_vs_Normal,-26.37321299804613,5.6396006096776906e-39,26.37321299804613
SLCO3A1,PDAC_vs_Normal,-26.37321299804613,5.6396006096776906e-39,26.37321299804613
SLCO3A1,GCSF_vs_Normal,-26.37321299804613,5.6396006096776906e-39,26.37321299804613
SLC15A3,GCSF_vs_Normal,-26.145367331287694,5.6396006096776906e-39,26.145367331287694
SLC6A6,PDAC_vs_Normal,-28.159314911906176,5.6400152103706336e-39,28.159314911906176
SLC44A2,PDAC_vs_Normal,-26.922714274986724,5.6400152103706336e-39,26.922714274986724
SLC43A2,PDAC_vs_Normal,-26.799422058299587,5.6400152103706336e-39,26.799422058299587
SLC16A3,PDAC_vs_Normal,-27.669073400982853,5.6400152103706336e-39,27.669073400982853
SLC12A6,HSCT_vs_Normal,-27.568974387102287,5.6400152103706336e-39,27.568974387102287
SLC25A3,HSCT_vs_Normal,-26.34912015780785,5.6400152103706336e-39,26.34912015780785
SLC20A1,GCSF_vs_Normal,-25.347053252723867,5.6400152103706336e-39,25.347053252723867
SLC38A2,GCSF_vs_Normal,-26.682495724735862,5.6400152103706336e-39,26.682495724735862
SLC11A1,GCSF_vs_Normal,-28.380480900338043,5.6400152103706336e-39,28.380480900338043
SLC15A4,GCSF_vs_Normal,-27.157905088622773,5.6400152103706336e-39,27.157905088622773
SLC40A1,GCSF_vs_Normal,-26.624834860909814,5.6400152103706336e-39,26.624834860909814
SLC12A6,GCSF_vs_Normal,-27.568974387102287,5.6400152103706336e-39,27.568974387102287
SLC44A2,GCSF_vs_Normal,-26.922714274986724,5.6400152103706336e-39,26.922714274986724
SLC16A3,GCSF_vs_Normal,-27.669073400982853,5.6400152103706336e-39,27.669073400982853
SLC43A2,GCSF_vs_Normal,-26.799422058299587,5.6400152103706336e-39,26.799422058299587
SLC25A37,GCSF_vs_Normal,-30.201070422746486,5.6400152103706336e-39,30.201070422746486
SLC25A3,GCSF_vs_Normal,-26.34912015780785,5.6400152103706336e-39,26.34912015780785
SLC2A3,HSCT_vs_Normal,-28.656402406356257,5.6400152103706336e-39,28.656402406356257
SLC25A3,PDAC_vs_Normal,-26.34912015780785,5.6400152103706336e-39,26.34912015780785
SLC6A6,HSCT_vs_Normal,-28.159314911906176,5.6400152103706336e-39,28.159314911906176
SLC2A3,GCSF_vs_Normal,-28.656402406356257,5.6400152103706336e-39,28.656402406356257
SLC6A6,GCSF_vs_Normal,-28.159314911906176,5.6400152103706336e-39,28.159314911906176
SLC40A1,PDAC_vs_Normal,-26.624834860909814,5.6400152103706336e-39,26.624834860909814
SLC20A1,HSCT_vs_Normal,-25.347053252723867,5.6400152103706336e-39,25.347053252723867
SLC11A1,PDAC_vs_Normal,-28.380480900338043,5.6400152103706336e-39,28.380480900338043
SLC15A4,PDAC_vs_Normal,-27.157905088622773,5.6400152103706336e-39,27.157905088622773
SLC43A2,HSCT_vs_Normal,-26.799422058299587,5.6400152103706336e-39,26.799422058299587
SLC16A3,HSCT_vs_Normal,-27.669073400982853,5.6400152103706336e-39,27.669073400982853
SLC44A2,HSCT_vs_Normal,-26.922714274986724,5.6400152103706336e-39,26.922714274986724
SLC38A2,HSCT_vs_Normal,-26.682495724735862,5.6400152103706336e-39,26.682495724735862
SLC12A6,PDAC_vs_Normal,-27.568974387102287,5.6400152103706336e-39,27.568974387102287
SLC25A37,PDAC_vs_Normal,-30.201070422746486,5.6400152103706336e-39,30.201070422746486
SLC38A2,PDAC_vs_Normal,-26.682495724735862,5.6400152103706336e-39,26.682495724735862
SLC20A1,PDAC_vs_Normal,-25.347053252723867,5.6400152103706336e-39,25.347053252723867
SLC40A1,HSCT_vs_Normal,-26.624834860909814,5.6400152103706336e-39,26.624834860909814
SLC15A4,HSCT_vs_Normal,-27.157905088622773,5.6400152103706336e-39,27.157905088622773
SLC2A3,PDAC_vs_Normal,-28.656402406356257,5.6400152103706336e-39,28.656402406356257
SLC11A1,HSCT_vs_Normal,-28.380480900338043,5.6400152103706336e-39,28.380480900338043
SLC25A37,HSCT_vs_Normal,-30.201070422746486,5.6400152103706336e-39,30.201070422746486
SLC27A4,GCSF_vs_Normal,-19.015898853950116,1.51741598483919e-38,19.015898853950116
SLC27A4,PDAC_vs_Normal,-19.015898853950116,1.51741598483919e-38,19.015898853950116
SLC27A4,HSCT_vs_Normal,-19.015898853950116,1.51741598483919e-38,19.015898853950116
SLC2A6,HSCT_vs_Normal,-19.32248910472758,1.533737916256855e-38,19.32248910472758
SLC2A6,PDAC_vs_Normal,-19.32248910472758,1.533737916256855e-38,19.32248910472758
SLC2A6,GCSF_vs_Normal,-19.32248910472758,1.533737916256855e-38,19.32248910472758
SLC20A2,GCSF_vs_Normal,-19.222570453928075,1.6151146407061897e-38,19.222570453928075
SLC20A2,HSCT_vs_Normal,-19.222570453928075,1.6151146407061897e-38,19.222570453928075
SLC20A2,PDAC_vs_Normal,-19.222570453928075,1.6151146407061897e-38,19.222570453928075
SLC35D2,PDAC_vs_Normal,-19.411531225944906,2.0918466513701721e-38,19.411531225944906
SLC35D2,GCSF_vs_Normal,-19.411531225944906,2.0918466513701721e-38,19.411531225944906
SLC35D2,HSCT_vs_Normal,-19.411531225944906,2.0918466513701721e-38,19.411531225944906
SLC35C1,HSCT_vs_Normal,-18.951467105657322,5.557154280478261e-38,18.951467105657322
SLC35C1,PDAC_vs_Normal,-18.951467105657322,5.557154280478261e-38,18.951467105657322
SLC35C1,GCSF_vs_Normal,-18.951467105657322,5.557154280478261e-38,18.951467105657322
SLC25A26,HSCT_vs_Normal,-18.965272878078864,6.096246517169261e-38,18.965272878078864
SLC25A26,PDAC_vs_Normal,-18.965272878078864,6.096246517169261e-38,18.965272878078864
SLC25A26,GCSF_vs_Normal,-18.965272878078864,6.096246517169261e-38,18.965272878078864
SLC11A2,HSCT_vs_Normal,-19.37081423423817,7.893331003903884e-38,19.37081423423817
SLC11A2,PDAC_vs_Normal,-19.37081423423817,7.893331003903884e-38,19.37081423423817
