,is_slc
MAR05156,False
MAR05157,False
MAR05158,False
MAR05159,False
MAR05160,False
MAR05161,False
MAR05162,False
MAR05163,False
MAR05164,False
MAR05165,False
MAR05166,False
MAR05167,False
MAR05168,False
MAR05169,False
MAR05170,False
MAR05171,False
MAR05172,False
MAR05174,False
MAR07282,False
MAR09735,False
MAR07621,False
MAR07622,False
MAR07624,False
MAR07626,False
MAR05258,False
MAR05259,False
MAR05260,False
MAR05261,False
MAR05262,False
MAR05263,False
MAR05264,False
MAR05265,False
MAR05266,False
MAR05267,False
MAR05268,False
MAR05269,False
MAR05270,False
MAR05271,False
MAR05272,False
MAR05273,False
MAR05274,False
MAR05275,False
MAR05276,False
MAR05277,False
MAR05278,False
MAR05279,False
MAR05280,False
MAR05281,False
MAR05282,False
MAR05283,False
MAR05284,False
MAR05285,False
MAR05286,False
MAR05287,False
MAR05288,False
MAR05290,False
MAR05291,False
MAR09817,False
MAR09818,False
MAR05407,False
MAR03851,False
MAR03861,False
MAR03866,False
MAR03915,False
MAR04084,False
MAR04187,False
MAR04701,False
MAR04840,False
MAR08662,False
MAR08663,False
MAR08664,False
MAR08665,False
MAR08666,False
MAR08667,False
MAR08668,False
MAR08669,False
MAR00710,False
MAR03787,False
MAR03957,False
MAR03958,False
MAR04139,False
MAR04141,False
MAR04145,False
MAR04147,False
MAR04149,False
MAR04152,False
MAR04209,False
MAR04408,False
MAR04410,False
MAR04454,False
MAR04458,False
MAR04465,False
MAR04589,False
MAR04652,False
MAR06413,False
MAR06414,False
MAR07704,False
MAR07706,False
MAR08772,False
MAR08773,False
MAR08774,False
MAR08775,False
MAR08777,False
MAR08778,False
MAR08779,False
MAR08780,False
MAR08781,False
MAR08782,False
MAR03975,False
MAR03977,False
MAR03979,False
MAR06911,False
MAR06912,False
MAR06914,False
MAR06916,False
MAR06918,False
MAR06921,False
MAR03960,False
MAR03980,False
MAR03982,False
MAR04767,False
MAR06608,False
MAR08409,False
MAR08410,False
MAR08413,False
MAR08415,False
MAR00156,False
MAR00165,False
MAR00168,False
MAR00171,False
MAR00174,False
MAR00177,False
MAR00180,False
MAR00184,False
MAR00188,True
MAR00192,True
MAR00196,True
MAR00200,True
MAR00204,True
MAR00209,True
MAR00213,True
MAR00217,True
MAR00226,True
MAR00233,True
MAR00237,True
MAR00241,True
MAR00245,True
MAR00249,True
MAR00255,True
MAR00259,True
MAR00263,True
MAR00267,True
MAR00271,True
MAR00275,True
MAR00279,True
MAR00283,True
MAR00289,True
MAR00293,True
MAR00297,True
MAR00301,True
MAR00305,True
MAR00309,True
MAR00313,True
MAR00319,True
MAR00323,True
MAR00327,True
MAR00331,True
MAR00337,True
MAR00341,True
MAR00345,True
MAR00349,True
MAR00353,True
MAR00357,True
MAR00361,True
MAR00365,True
MAR00369,True
MAR00373,True
MAR00377,True
MAR00381,True
MAR00385,True
MAR00389,True
MAR00393,True
MAR00397,True
MAR00401,True
MAR00405,True
MAR00409,True
MAR00413,True
MAR00417,True
MAR00421,True
MAR00425,True
MAR00429,True
MAR00433,True
MAR00437,True
MAR02942,True
MAR02943,True
MAR02944,True
MAR02945,True
MAR02946,True
MAR02947,True
MAR02948,True
MAR02949,True
MAR02951,True
MAR02952,True
MAR02954,True
MAR02955,True
MAR02956,True
MAR02957,True
MAR02959,True
MAR02961,True
MAR02962,True
MAR02963,True
MAR02964,True
MAR02965,True
MAR02966,True
MAR02967,True
MAR02968,True
MAR02969,True
MAR02970,True
MAR02971,True
MAR02972,True
MAR02973,True
MAR02974,True
MAR02975,True
MAR02976,True
MAR02977,True
MAR02978,True
MAR02979,True
MAR02980,True
MAR02981,True
MAR02982,True
MAR02983,True
MAR02984,True
MAR02985,True
MAR02986,True
MAR02987,True
MAR02988,True
MAR02989,True
MAR02990,True
MAR02991,True
MAR02992,True
MAR02994,True
MAR02996,True
