feature,rank_pca,rank_lda,rank_lasso,rank_shap,mean_rank,is_slc
ATE1,1313.0,4418.0,16924.0,53.0,5677.0,False
PLAC8,5470.0,88.0,16924.0,234.5,5679.125,False
NDUFA5,1282.0,4363.0,16924.0,149.0,5679.5,False
APRT,2329.0,3085.0,69.0,17240.5,5680.875,False
SS18L2,2394.0,2505.0,16924.0,901.0,5681.0,False
IMP3,3013.0,2262.0,221.0,17240.5,5684.125,False
PIP4P1,893.0,4622.0,16924.0,298.5,5684.375,False
GMIP,998.0,4599.0,16924.0,223.5,5686.125,False
SNRPF,2831.0,2740.0,16924.0,253.0,5687.0,False
SNX17,4788.0,574.0,16924.0,475.5,5690.375,False
MMP8,5401.0,119.0,16.0,17240.5,5694.125,False
RNASE1,1855.0,3626.0,16924.0,371.5,5694.125,False
SERPING1,5255.0,272.0,16924.0,326.5,5694.375,False
NUS1,5091.0,573.0,16924.0,198.0,5696.5,False
OPN3,1465.0,4350.0,16924.0,51.0,5697.5,False
NRP2,949.0,4531.0,16924.0,408.0,5703.0,False
MPZL1,3713.0,1527.0,16924.0,655.5,5704.875,False
BRD2,534.0,4440.0,16924.0,924.0,5705.5,False
DIS3,571.0,4834.0,16924.0,493.0,5705.5,False
LINC02384,1222.0,4040.0,16924.0,646.5,5708.125,False
RPL39,5289.0,95.0,214.0,17240.5,5709.625,False
TES,3024.0,2342.0,243.0,17240.5,5712.375,False
SLC11A1,220.0,5488.0,16924.0,234.5,5716.625,True
ITM2B,4335.0,1591.0,16924.0,20.0,5717.5,False
MIF,5068.0,405.0,173.0,17240.5,5721.625,False
ARHGDIB,4828.0,577.0,256.0,17240.5,5725.375,False
WDR92,1495.0,3852.0,16924.0,633.0,5726.0,False
GABARAPL2,5129.0,334.0,204.0,17240.5,5726.875,False
IDS,1397.0,3780.0,16924.0,812.5,5728.375,False
CD83,5334.0,260.0,90.0,17240.5,5731.125,False
DYNLT1,671.0,4699.0,16924.0,651.0,5736.25,False
EEF1E1,3691.0,2273.0,16924.0,77.0,5741.25,False
PFDN6,4409.0,1092.0,16924.0,550.5,5743.875,False
DUSP12,385.0,5227.0,16924.0,450.0,5746.5,False
MAP3K1,780.0,4493.0,16924.0,792.0,5747.25,False
AC020656.1,4923.0,609.0,217.0,17240.5,5747.375,False
MARCH1,5071.0,448.0,241.0,17240.5,5750.125,False
STYXL1,260.0,5006.0,16924.0,814.0,5751.0,False
RGS12,1640.0,4435.0,16924.0,15.0,5753.5,False
EZR,2150.0,3470.0,16924.0,480.0,5756.0,False
CD177,5744.0,50.0,6.0,17240.5,5760.125,False
THOP1,2717.0,2863.0,16924.0,550.5,5763.625,False
NDUFB1,4931.0,649.0,237.0,17240.5,5764.375,False
HCK,5290.0,371.0,169.0,17240.5,5767.625,False
CWC15,3429.0,2261.0,159.0,17240.5,5772.375,False
CENPW,4526.0,931.0,16924.0,759.0,5785.0,False
WDR20,2596.0,3363.0,16924.0,279.0,5790.5,False
ACTR6,2119.0,4007.0,16924.0,113.5,5790.875,False
ACAD9,2471.0,3484.0,16924.0,287.0,5791.5,False
IDH1,5483.0,290.0,158.0,17240.5,5792.875,False
TOMM5,4759.0,658.0,16924.0,839.5,5795.125,False
USP15,1244.0,4954.0,16924.0,67.0,5797.25,False
NKAP,706.0,4895.0,16924.0,669.5,5798.625,False
RPS3A,5889.0,9.0,79.0,17240.5,5804.375,False
SLC38A10,4565.0,867.0,16924.0,871.0,5806.75,False
CCDC85C,1262.0,4334.0,16924.0,712.0,5808.0,False
CTSA,5356.0,517.0,138.0,17240.5,5812.875,False
DDIT3,2258.0,4051.0,16924.0,19.0,5813.0,False
LDHA,5920.0,25.0,82.0,17240.5,5816.875,False
CTBP2,4943.0,1137.0,16924.0,272.0,5819.0,False
RUSC1,1298.0,4941.0,16924.0,113.5,5819.125,False
EDN1,5055.0,910.0,106.0,17240.5,5827.875,False
IL17RA,4605.0,1792.0,16924.0,2.0,5830.75,False
HINT1,2433.0,3239.0,16924.0,732.5,5832.125,False
NDUFB9,5417.0,510.0,162.0,17240.5,5832.375,False
NARS,531.0,5539.0,16924.0,383.5,5844.375,False
RPS7,5948.0,79.0,125.0,17240.5,5848.125,False
IRF9,625.0,5130.0,16924.0,736.0,5853.75,False
ZDHHC20,5153.0,857.0,180.0,17240.5,5857.625,False
