gene,comparison,log2fc,p_value,abs_log2fc
SLC7A11,Fatal_vs_Healthy,-3.692481407453043,2.562143669163401e-34,3.692481407453043
SLC11A2,Survivor_vs_Healthy,0.5535994764801236,2.562143669163401e-34,0.5535994764801236
SLC12A6,Survivor_vs_Healthy,0.2730165121254998,2.562143669163401e-34,0.2730165121254998
SLC41A2,Fatal_vs_Healthy,1.1304499548595346,2.640284031487027e-34,1.1304499548595346
SLC2A3,Survivor_vs_Healthy,-0.08098334390150842,2.640284031487027e-34,0.08098334390150842
SLC16A4,Survivor_vs_Healthy,1.4635860083949248,2.7207913829411556e-34,1.4635860083949248
SLC30A6,Fatal_vs_Healthy,1.258893221797219,2.7207913829411556e-34,1.258893221797219
SLC35A1,Fatal_vs_Healthy,0.8234437028896701,2.7207913829411556e-34,0.8234437028896701
SLC22A5,Survivor_vs_Healthy,1.1308512861357687,2.7207913829411556e-34,1.1308512861357687
SLC9A1,Survivor_vs_Healthy,-0.47106012066097985,2.8037369279891326e-34,0.47106012066097985
SLC35D1,Survivor_vs_Healthy,0.6906984116054875,2.8037369279891326e-34,0.6906984116054875
SLC9A7,Survivor_vs_Healthy,-0.8140960967372017,2.9772381142870293e-34,0.8140960967372017
SLC25A17,Fatal_vs_Healthy,1.1496643546154974,2.9772381142870293e-34,1.1496643546154974
SLC44A1,Survivor_vs_Healthy,0.3248479817342925,2.9772381142870293e-34,0.3248479817342925
SLC19A1,Fatal_vs_Healthy,-0.4729590868332788,3.0679470531105663e-34,0.4729590868332788
SLC25A40,Fatal_vs_Healthy,0.7909385871693333,3.0679470531105663e-34,0.7909385871693333
SLC12A5,Survivor_vs_Healthy,1.6937979071709521,3.2547566784944706e-34,1.6937979071709521
SLC8B1,Survivor_vs_Healthy,-0.2842049164017204,3.564352686139979e-34,0.2842049164017204
SLC25A16,Survivor_vs_Healthy,0.33620739429073015,3.564352686139979e-34,0.33620739429073015
SLC26A11,Survivor_vs_Healthy,-0.34060632459488327,3.89968424397301e-34,0.34060632459488327
SLC2A13,Fatal_vs_Healthy,0.9959456810199554,3.89968424397301e-34,0.9959456810199554
SLC4A7,Survivor_vs_Healthy,0.4370729944736408,4.01828327422864e-34,0.4370729944736408
SLC25A16,Fatal_vs_Healthy,0.36920440886011824,4.140464634938016e-34,0.36920440886011824
SLC25A15,Survivor_vs_Healthy,1.265100799975587,4.529086903608725e-34,1.265100799975587
SLC25A10,Survivor_vs_Healthy,1.4423439392502977,4.529593338305166e-34,1.4423439392502977
SLC25A32,Fatal_vs_Healthy,0.33589529569845034,4.667211042196274e-34,0.33589529569845034
SLC16A5,Fatal_vs_Healthy,-0.41936639075101706,5.1054809667146726e-34,0.41936639075101706
SLC5A10,Fatal_vs_Healthy,2.2557799229464064,5.1837538281523685e-34,2.2557799229464064
SLC16A1,Survivor_vs_Healthy,-0.6555146356176232,5.260470429413558e-34,0.6555146356176232
SLC25A27,Fatal_vs_Healthy,-19.406958447196413,5.265396111490543e-34,19.406958447196413
SLC19A3,Fatal_vs_Healthy,17.329775652306754,5.402015977128706e-34,17.329775652306754
SLC22A18,Fatal_vs_Healthy,0.37518348844174865,5.420132830819629e-34,0.37518348844174865
